frame_idx,filename,x_gt_m,scenario
0,frame_000000.png,0.01,straight
1,frame_000001.png,0.01,straight
2,frame_000002.png,0.01,straight
3,frame_000003.png,0.01,straight
4,frame_000004.png,0.01,straight
5,frame_000005.png,0.01,straight
6,frame_000006.png,0.01,straight
7,frame_000007.png,0.01,straight
8,frame_000008.png,0.01,straight
9,frame_000009.png,0.01,straight
10,frame_000010.png,0.01,straight
11,frame_000011.png,0.01,straight
12,frame_000012.png,0.01,straight
13,frame_000013.png,0.01,straight
14,frame_000014.png,0.01,straight
15,frame_000015.png,0.01,straight
16,frame_000016.png,0.01,straight
17,frame_000017.png,0.01,straight
18,frame_000018.png,0.01,straight
19,frame_000019.png,0.01,straight
20,frame_000020.png,0.01,straight
21,frame_000021.png,0.01,straight
22,frame_000022.png,0.01,straight
23,frame_000023.png,0.01,straight
24,frame_000024.png,0.01,straight
25,frame_000025.png,0.01,straight
26,frame_000026.png,0.01,straight
27,frame_000027.png,0.01,straight
28,frame_000028.png,0.01,straight
29,frame_000029.png,0.01,straight
30,frame_000030.png,0.01,straight
31,frame_000031.png,0.01,straight
32,frame_000032.png,0.01,straight
33,frame_000033.png,0.01,straight
34,frame_000034.png,0.01,straight
35,frame_000035.png,0.01,straight
36,frame_000036.png,0.01,straight
37,frame_000037.png,0.01,straight
38,frame_000038.png,0.01,straight
39,frame_000039.png,0.01,straight
40,frame_000040.png,0.01,straight
41,frame_000041.png,0.01,straight
42,frame_000042.png,0.01,straight
43,frame_000043.png,0.01,straight
44,frame_000044.png,0.01,straight
45,frame_000045.png,0.01,straight
46,frame_000046.png,0.01,straight
47,frame_000047.png,0.01,straight
48,frame_000048.png,0.01,straight
49,frame_000049.png,0.01,straight
50,frame_000050.png,0.01,straight
51,frame_000051.png,0.01,straight
52,frame_000052.png,0.01,straight
53,frame_000053.png,0.01,straight
54,frame_000054.png,0.01,straight
55,frame_000055.png,0.01,straight
56,frame_000056.png,0.01,straight
57,frame_000057.png,0.01,straight
58,frame_000058.png,0.01,straight
59,frame_000059.png,0.01,straight
60,frame_000060.png,0.01,straight
61,frame_000061.png,0.01,straight
62,frame_000062.png,0.01,straight
63,frame_000063.png,0.01,straight
64,frame_000064.png,0.01,straight
65,frame_000065.png,0.01,straight
66,frame_000066.png,0.01,straight
67,frame_000067.png,0.01,straight
68,frame_000068.png,0.01,straight
69,frame_000069.png,0.01,straight
70,frame_000070.png,0.01,straight
71,frame_000071.png,0.01,straight
72,frame_000072.png,0.01,straight
73,frame_000073.png,0.01,straight
74,frame_000074.png,0.01,straight
75,frame_000075.png,0.01,straight
76,frame_000076.png,0.01,straight
77,frame_000077.png,0.01,straight
78,frame_000078.png,0.01,straight
79,frame_000079.png,0.01,straight
80,frame_000080.png,0.01,straight
81,frame_000081.png,0.01,straight
82,frame_000082.png,0.01,straight
83,frame_000083.png,0.01,straight
84,frame_000084.png,0.01,straight
85,frame_000085.png,0.01,straight
86,frame_000086.png,0.01,straight
87,frame_000087.png,0.01,straight
88,frame_000088.png,0.01,straight
89,frame_000089.png,0.01,straight
90,frame_000090.png,0.01,straight
91,frame_000091.png,0.01,straight
92,frame_000092.png,0.01,straight
93,frame_000093.png,0.01,straight
94,frame_000094.png,0.01,straight
95,frame_000095.png,0.01,straight
96,frame_000096.png,0.01,straight
97,frame_000097.png,0.01,straight
98,frame_000098.png,0.01,straight
99,frame_000099.png,0.01,straight
100,frame_000100.png,0.01,straight
101,frame_000101.png,0.01,straight
102,frame_000102.png,0.01,straight
103,frame_000103.png,0.01,straight
104,frame_000104.png,0.01,straight
105,frame_000105.png,0.01,straight
106,frame_000106.png,0.01,straight
107,frame_000107.png,0.01,straight
108,frame_000108.png,0.01,straight
109,frame_000109.png,0.01,straight
110,frame_000110.png,0.01,straight
111,frame_000111.png,0.01,straight
112,frame_000112.png,0.01,straight
113,frame_000113.png,0.01,straight
114,frame_000114.png,0.01,straight
115,frame_000115.png,0.01,straight
116,frame_000116.png,0.01,straight
117,frame_000117.png,0.01,straight
118,frame_000118.png,0.01,straight
119,frame_000119.png,0.01,straight
120,frame_000120.png,0.01,straight
121,frame_000121.png,0.01,straight
122,frame_000122.png,0.01,straight
123,frame_000123.png,0.01,straight
124,frame_000124.png,0.01,straight
125,frame_000125.png,0.01,straight
126,frame_000126.png,0.01,straight
127,frame_000127.png,0.01,straight
128,frame_000128.png,0.01,straight
129,frame_000129.png,0.01,straight
130,frame_000129.png,0.01,straight
131,frame_000129.png,0.01,straight
132,frame_000129.png,0.01,straight
